Record ID,Aircraft: Type,Airport: Name,Altitude bin,Aircraft: Make/Model,Wildlife: Number struck,Wildlife: Number Struck Actual,Effect: Impact to flight,FlightDate,Effect: Indicated Damage,Aircraft: Number of engines?,Aircraft: Airline/Operator,Origin State,When: Phase of flight,Conditions: Precipitation,Remains of wildlife collected?,Remains of wildlife sent to Smithsonian,Remarks,Wildlife: Size,Conditions: Sky,Wildlife: Species,Pilot warned of birds or wildlife?,Cost: Total $,Feet above ground,Number of people injured,Is Aircraft Large?
221551,Airplane,ROCK COUNTY,< 1000 ft,C-560,2 to 10,10,Precautionary Landing,2003-05-07,Caused damage,2,BUSINESS,Wisconsin,Climb,Fog,False,False,2-3 CANADA GEESE WERE STRUCK. RT MAIN GEAR AND RT LE WING. NEEDS INSPN. FERRIED TO MKE FOR REPAIR. SCHEDULED OUT ON 7/10/03.,Large,Overcast,Canada goose,N,0,40,0,No
220230,Airplane,MANASSAS REGIONAL ARPT,< 1000 ft,BE-90  KING,2 to 10,9,Aborted Take-off,2003-06-07,No damage,2,PRIVATELY OWNED,Virginia,Take-off run,"Fog, Rain",False,False,ATIS WARNING. NO DMG. REFILED AND DEPARTED.,Small,Overcast,Unknown bird - small,Y,0,0,0,No
216826,Airplane,LUIS MUNOZ MARIN INTL -SAN JUAN,< 1000 ft,B-757-200,2 to 10,5,Aborted Take-off,2003-07-04,No damage,2,AMERICAN AIRLINES,Puerto Rico,Take-off run,Rain,False,False,BIRD REPTD AS WHITE CRANE. MOST LIKELY GREAT EGRET,Medium,Overcast,Great egret,N,0,0,0,Yes
223141,Airplane,BUFFALO-NIAGARA INTL,< 1000 ft,EMB-145,2 to 10,2,Precautionary Landing,2003-10-14,No damage,2,AMERICAN EAGLE AIRLINES,New York,Take-off run,Rain,False,False,NO DMG.,Small,Overcast,American woodcock,N,0,0,0,No
224998,Airplane,ST AUGUSTINE,< 1000 ft,LEARJET-35,2 to 10,5,Precautionary Landing,2003-11-03,No damage,2,BUSINESS,Florida,Climb,Rain,False,False,6 SMALL MARSH HENS.,Small,Overcast,Unknown bird - small,N,0,500,0,No
225948,Airplane,KANSAS CITY INTL,> 1000 ft,B-727-200,2 to 10,10,Other,2003-11-06,Caused damage,3,BUSINESS,Missouri,Approach,Fog,False,False,"ENG DMGD. RETARDED POWER, LEFT IN IDLE",Large,Overcast,Unknown bird - large,Y,0,3000,0,No
222074,Airplane,ST AUGUSTINE,< 1000 ft,LEARJET-31,2 to 10,8,Aborted Take-off,2003-11-09,No damage,2,BUSINESS,Florida,Take-off run,Fog,False,False,STRIKES TO BOTH WINGS AND VERTICAL SLAT.,Small,Overcast,Unknown bird - small,N,0,0,0,No
226939,Airplane,PORTLAND-HILLSBORO ARPT,< 1000 ft,EMB-135,2 to 10,10,Precautionary Landing,2003-12-19,No damage,2,EXECUTIVE JET MGMNT,Oregon,Climb,Rain,False,False,BIRD INGESTED. ENG HAD TO BE CLEANED OUT BEFORE NEXT T/O.  HIT SEVERAL SML BIRDS.,Small,Some Cloud,Unknown bird - small,Y,2840,500,0,No
223543,Airplane,PORTLAND INTL (OR),< 1000 ft,B-757-200,2 to 10,5,Engine Shut Down,2004-02-17,Caused damage,2,UPS AIRLINES,Oregon,Take-off run,Rain,True,False,"HIT 5 MALLARDS AT ROTATION. SEVERE VIBRATIONS, LOUD SOUND AND HOT SMELL. CAPT PULLED L ENG THRUST BAC, DECLARED EMER. & SHUT DOWN L ENG. TWR REPTD NUMEROUS DEAD DUCKS ON DEPTR END OF RWY. A/C RETD WITH 1 ENG OUT. AT LEAST 1 BIRD WAS INGESTED AND PARTS OF",Medium,Overcast,Mallard,Y,3006592,0,0,Yes
226478,Airplane,BALTIMORE WASH INTL,< 1000 ft,BE-200 KING,2 to 10,7,Aborted Take-off,2004-03-06,No damage,2,BUSINESS,Maryland,Take-off run,Rain,True,False,A/C ABORTED T/O & REPTD STRIKE. DID A RUN-UP IN SFS APRON. BACK TAXIED TO 33R & DEPTD. CARCASSED REMOVED FROM RWY & ID'D BY OPS MGR.,Medium,Overcast,Ring-billed gull,Y,0,0,0,No
224966,Airplane,MISSOULA INTL ARPT,< 1000 ft,CL-RJ100/200,2 to 10,9,Aborted Take-off,2004-05-23,No damage,2,SKYWEST AIRLINES,Montana,Take-off run,Rain,False,False,"PILOT REPTD BIRDSTRIKE JUST PRIOR TO ROTATION. NO DMG. PILOT DID NOT SEE BIRDS. (RAINING, WET WINDSHIELD) 6 GULLS FOUND.",Medium,Overcast,California gull,N,0,0,0,No
224623,Airplane,BISHOP INTL FLINT,< 1000 ft,B-717-200,2 to 10,9,Precautionary Landing,2004-08-29,Caused damage,2,AIRTRAN AIRWAYS,Michigan,Climb,Rain,True,False, A/C RETD TO LAND BECAUSE OF WX RADAR FAILURE. 3 DEAD GULLS FOUND ON RWY. DENT IN RADOME.,Medium,Overcast,Ring-billed gull,N,0,10,0,No
229691,Airplane,NEWARK LIBERTY INTL ARPT,< 1000 ft,B-737-800,2 to 10,6,Precautionary Landing,2004-10-19,No damage,2,CONTINENTAL AIRLINES,New Jersey,Take-off run,"Fog, Rain",True,False,"ATIS WARNING. PILOT SAW FLOCK ON T/O ROLL. 1 HIT FUSELAGE, 1 HIT L ENG COWL & 1 HIT RT ENG.  NO EFFECT ON FLT. RETD FOR PREC LDG. 2 DOVE CARCASSES WERE FOUND AT INTXN TWY N AT 1732Z. (BIRDS REPTD AS DOVES, ASSUME MOURNING)",Small,Overcast,Mourning dove,Y,0,0,0,Yes
233175,Airplane,NORWOOD MEMORIAL ARPT,< 1000 ft,BE-200 KING,2 to 10,4,Other,2004-10-19,No damage,2,FLIGHT OPTIONS,Massachusetts,Approach,Rain,False,False,"PILOT SAID AT LEAST 2 BIRDS WERE EVIDENT IN L ENG. NOT SURE IF THEY WERE INGESTED NOR THE EXTENT OF DAMAGE, IF ANY. FLT CANCELLED. BIRDS REPTD AS DOVES, ASSUME MOURNING.",Small,Overcast,Mourning dove,N,0,50,0,No
230306,Airplane,CHARLOTTE/DOUGLAS INTL ARPT,< 1000 ft,A-321,2 to 10,6,Other,2004-11-23,No damage,2,US AIRWAYS*,North Carolina,Take-off run,Rain,False,False,NO CORE GAS PATH INGESTION NOTED. NO DMG.,Medium,Overcast,Unknown bird - medium,N,0,0,0,No
231682,Airplane,PORTLAND-HILLSBORO ARPT,< 1000 ft,CITATIONJET,2 to 10,9,Precautionary Landing,2004-11-30,Caused damage,2,BUSINESS,Oregon,Climb,"Fog, Rain",True,True,"ENTERED THE CLOUDS AT 100' AGL AT 1200 MSL ENCOUNTERED THE GEESE IN THE CLOUDS. HIT 4. ABOUT 25-30 IN CLOUDS. 1 IT PIC WINDSHLD, 1 MID RT WING, 2 TO L WING. DMG TO WING. ID BY SMITHSONIAN. BIRDS REPTD AS GEESE BY PILOT.",Medium,Overcast,Northern pintail,Y,30066,200,0,No
234156,Airplane,SNOHOMISH CO (PAINE FIELD),< 1000 ft,B-777-200,2 to 10,7,Precautionary Landing,2004-12-08,No damage,2,BUSINESS,Washington,Climb,Rain,True,False,NOTAM WARNING. PILOT REPTD HEARING/FEELING STRIKE ON RADOME TO ATCT BUT NOT WAS NOT SURE HOW MANY BIRDS. 4 CARCASSES FOUND ON RWY. NO INITIAL DMG TO A/C. NOTED.,Medium,Overcast,Glaucous-winged gull,Y,0,50,0,No
227309,Airplane,SACRAMENTO INTL,> 1000 ft,MD-82,2 to 10,9,Precautionary Landing,2004-12-08,Caused damage,2,AMERICAN AIRLINES,California,Climb,Rain,True,True,"ID BY SMITHSONIAN, FAA 976. PAXS REPTD SEEING A FLOCK OF GEESE AT TIME OF STRIKE. RECOVERED ONLY 1 SML DOWNY FEATHER.  DMG TO RADOME AND L WING LE. PUNCTURED WING. PHOTOS SENT.",Medium,Overcast,Northern pintail,Y,24053,5500,0,No
232397,Airplane,HONOLULU INTL ARPT,< 1000 ft,B-717-200,2 to 10,4,Aborted Take-off,2005-01-31,Caused damage,2,HAWAIIAN AIR,Hawaii,Take-off run,Rain,True,False,"FERAL DUCK. (UPDATED TO MALLARD) STRIKE WS ABOUT 3,000 FT DOWN RWY 8L FROM APCH END. 3 CARCASSES FOUND. LOW SPEED ABORT. RETD TO RAMP. 1 TAXI LIGHT DAMAGED.",Medium,Overcast,Mallard,N,0,0,0,No
237710,Airplane,ST. LUCIE COUNTY INTL ARPT,< 1000 ft,HAWKER-SDLY HS125,2 to 10,7,Aborted Take-off,2005-11-30,No damage,2,BUSINESS,Florida,Take-off run,Fog,False,False,NO DMG.,Large,Overcast,Sandhill crane,N,0,0,0,No
232371,Airplane,TRI-STATE MILTON FERGUSON,< 1000 ft,BE-90  KING,2 to 10,8,Aborted Take-off,2005-12-26,No damage,2,BUSINESS,West Virginia,Take-off run,Rain,False,False,"NO VIZ DMG, LOTS OF BLOOD",Small,Overcast,Unknown bird - small,N,0,0,0,No
243343,Airplane,TETERBORO AIRPORT,< 1000 ft,GULFAERO IV,2 to 10,2,Precautionary Landing,2006-05-19,Caused damage,2,BUSINESS,New Jersey,Climb,Rain,True,False,INGESTED BIRDS ON CLIMB. A/C MADE PREC LDG. ARFF RESPONDED. A/C TAXIED TO RAMP W/O INCIDENT. 2+ BLADES WERE BENT AND 1 OR 2 WERE MISSING.,Medium,Some Cloud,Mallard,N,0,200,0,No
234369,Airplane,DALLAS/FORT WORTH INTL ARPT,< 1000 ft,B-757-200,2 to 10,9,Engine Shut Down,2006-06-26,Caused damage,2,AMERICAN AIRLINES,Texas,Take-off run,Rain,False,False,INITIAL INSPN SHOWED 9 BENT COMPRESSOR BLADES. A/C TAKEN OUT OF SVC FOR CLOSER INSPN.,Small,Overcast,Rock pigeon,Y,0,0,0,Yes
245742,Airplane,WILLOW RUN ARPT,< 1000 ft,DC-9-10,2 to 10,8,Precautionary Landing,2006-07-27,No damage,2,USA JET AIRLINES,Michigan,Take-off run,Fog,True,False,PILOT REPTD POSSIBLE COMPRESSION STALL AFTER LIFTOFF AND ILS PROBLEMS ON A/C WHICH WERE THOUGHT TO BE ASSOCIATED WITH A POSSIBLE BIRDSTRIKE. FOUND 2 INTACT MOURNING DOVES MIDWAY DOWN RWY. NO DMG FOUND. FLT CONTD.,Small,Overcast,Mourning dove,Y,0,0,0,No
237720,Airplane,MBS INTL,< 1000 ft,BE-400 BJET,2 to 10,9,Aborted Take-off,2006-08-26,No damage,2,FLIGHT OPTIONS,Michigan,Take-off run,Fog,False,False,FOUND DOVE AND KILLDEER. (ASSUME MOURNING DOVE),Small,Overcast,Mourning dove,N,0,0,0,No
244864,Airplane,CHICAGO O'HARE INTL ARPT,< 1000 ft,A-319,2 to 10,6,Aborted Take-off,2006-09-07,Caused damage,2,UNITED AIRLINES,Illinois,Take-off run,Fog,False,False,DMG TO RT WING ROOT WAS MINOR AND WITHIN LIMITS.,Small,Some Cloud,Mourning dove,N,0,0,0,No
242171,Airplane,EASTERN WEST VIRGINIA REGIONAL ARPT,< 1000 ft,BE-90  KING,2 to 10,5,Precautionary Landing,2006-10-06,Caused damage,2,ACM AVIATION,West Virginia,Take-off run,Rain,False,False,"A/C HIT BIRDS WITH L PROP & REMAINS OF BIRD WENT TO L WING. TWR ADZ OF BIRDS PRIOR TO T/O AND BIRDS MOVED AWAY FROM RWY JUST PRIOR TO INITIAL T/O ROLL.  AT ABOUT 85 KTS, BIRD THEN MOVED TOWARD A/C AND HIT AT 90 KIAS.  A/C CONTD T/O AND LANDED A FEW MOMENT",Large,Overcast,Canada goose,Y,0,0,0,No
248635,Airplane,ST LOUIS REGIONAL,< 1000 ft,C-441 CONQUE,2 to 10,3,Aborted Take-off,2007-09-08,No damage,2,BUSINESS,Illinois,Take-off run,Fog,False,False,"(DATA ENTRY NOTE: BIRD REPTD AS DOVE, ASSUMEMOURNING FROM LOCATION.)",Small,Overcast,Mourning dove,N,0,0,0,No
253093,Airplane,DAYTONA BEACH INTL,< 1000 ft,MD-88,2 to 10,3,Precautionary Landing,2007-10-29,Caused damage,2,DELTA AIR LINES,Florida,Take-off run,Rain,True,True,"ID BY SMITHSONIAN, FAA 2183.  ALL 3  BIRDS SENT WERE SAME SP.  HIT MULTIPLE BIRDS ON T/O RUN. RT ENG SUSTAINED SIGNIF DMG. PILOT DID NOT KNOW HE HIT BIRDS AT ROTATION. FLT ATTENDANT NOTICED BURNING SMELL. A COMPANY MECHANIC WAS ON THE A/C. HEARD A POP WHI",Small,Overcast,American golden-plover,N,0,0,0,No
250150,Airplane,CINCINNATI/NORTHERN KENTUCKY INTL ARPT,< 1000 ft,CL-RJ100/200,2 to 10,7,Aborted Take-off,2007-11-05,No damage,2,ATLANTIC SOUTHEAST,Kentucky,Take-off run,Rain,False,False,NO DMG.,Small,Some Cloud,Unknown bird - small,Y,0,0,0,No
251574,Airplane,LEHIGH VALLEY INTL,< 1000 ft,CL-600,2 to 10,10,Precautionary Landing,2007-11-19,Caused damage,2,BUSINESS,Pennsylvania,Approach,"Rain, Snow",True,True,"ID BY SMITHSONIAN, FAA 2217.  REMAINS IDENTIFIED AS GOOSE AND SNOW GOOSE. "" CANADA GOOSE"" (AS REPORTED BY OPS MGR) WAS INGESTED INTO L SIDE ENG. NO APPARENT REMAINS. SLIGHT SKIN DIMPLING ON FUSELAGE",Large,Overcast,Snow goose,Y,0,1000,0,No
253826,Airplane,STEWART INTL AIRPORT,< 1000 ft,DHC8 DASH 8,2 to 10,4,Other,2008-04-28,Caused damage,2,PIEDMONT AIRLINES,New York,Parked,"Fog, Rain",True,False,A/C WAS STOPPED WHEN STRIKE OCCURRED. TURKEY FLEW INTO THE PROP WHILE A/C WAS WAITING TO DEPART. BTWN TWY A1 AND 2. UNLOADED PASSENGERS AND WAITED FOR MC. FLT DELAYED ABOUT 53 MINUTES. DMG TO PROP AND FUSELAGE.,Large,Overcast,Wild turkey,N,0,0,0,No
258303,Airplane,DAYTONA BEACH INTL,< 1000 ft,MD-88,2 to 10,6,Other,2008-09-05,No damage,2,DELTA AIR LINES,Florida,Landing Roll,Rain,True,True,"ID BY SMITHSONIAN, FAA 2664.",Small,Overcast,Barn swallow,N,0,0,0,No
256523,Airplane,CHICAGO O'HARE INTL ARPT,< 1000 ft,EMB-135,2 to 10,9,Aborted Take-off,2008-09-14,Caused damage,2,AMERICAN EAGLE AIRLINES,Illinois,Take-off run,Rain,True,False,NUMEROUS BIRDSTRIKES ON T/O. ABORTED T/O BTWN 90-100 KTS.  REMAINS OF 3 JUVENILE RB GULLS WERE RECOVERED BY OPS. A/C WAS TAKEN OUT OF SERVICE. A/C - EMB 140,Medium,Overcast,Ring-billed gull,Y,21646,0,0,No
262543,Airplane,MINETA SAN JOSE INTL,< 1000 ft,B-757-200,2 to 10,10,Engine Shut Down,2009-02-16,Caused damage,2,UNITED AIRLINES,California,Take-off run,Rain,True,True,"ID BY SMITHSONIAN, FAA 3038 AND 3074. WHOLE FEATHER. ESN 726594.I WAS F/O ON FLT 1220. SJC-DEN.  CAPT COMMENTED ON A FEW GULLS DURING TAXI OUT. WE DISCUSSED BIRD ACTIVITY. ATIS, GROUND AND TWR CONTROL MADE NO MENTION OF ANY BIRD ACTIVITY. IT WAS A  NORMAL",Medium,Overcast,California gull,N,0,0,0,Yes
263115,Airplane,NEW ORLEANS INTL,< 1000 ft,B-757-200,2 to 10,4,Precautionary Landing,2009-03-16,Caused damage,2,DELTA AIR LINES,Louisiana,Take-off run,Rain,True,True,"ID BY SMITHSONIAN, FAA 3079. DNA. CREW REPTD BIRDSTRIKE ON LIFTOFF. SAW UP TO 10 GULLS ON RWY DURING ROTATION. A VIBRATION WAS NOTICED AT MULTIPLE POWER LEVELS WHILE CLIMBING TO 4000 FT. INSTRUMENTS IN COCKPIT GAVE NO INDICATION OF ENG PROBLEMS. AN EMERGE",Medium,Overcast,Herring gull,Y,0,0,0,Yes
264137,Airplane,MORRISTOWN MUNICIPAL ARPT,< 1000 ft,CL-600,2 to 10,6,Aborted Take-off,2009-07-29,No damage,2,BUSINESS,New Jersey,Take-off run,Fog,False,False,A/C HIT SEVEN SWALLOWS ON T/O RUN (RWY INTXN) A/C ABORTED T/O AND RETURNED TO RAMP. SMALL BLOOD SMEARS FOUND ON LE OF L WING. NO DMG TO A/C.,Small,Overcast,Barn swallow,Y,0,0,0,No
262749,Airplane,KANSAS CITY INTL,< 1000 ft,EMB-170,2 to 10,4,Other,2009-10-22,No damage,2,REPUBLIC AIRLINES,Missouri,Approach,Rain,True,True,"ID BY SMITHSONIAN, FAA 3850. HIT 3 GULLS. A/C BEING INSPECTED FOR DMG. ASSESSMENT INCOMPLETE.",Small,Overcast,Franklin's gull,Y,0,63,0,No
267908,Airplane,TETERBORO AIRPORT,< 1000 ft,GULFAERO IV,2 to 10,6,Precautionary Landing,2009-10-24,No damage,2,BUSINESS,New Jersey,Take-off run,Rain,True,False,"A/C RETD TO LAND ON RWY 19 DUE TO A BIRDSTRIKE AFTER DEPTR. (DATA ENTRY NOTE: BOX CHECKED FOR INGESTION, BUT NO ENG WAS MARKED AS BEING STRUCK)",Small,Overcast,Rock pigeon,Y,0,0,0,No
266808,Airplane,DENVER INTL AIRPORT,> 1000 ft,CL-RJ700,2 to 10,8,Other,2009-10-25,Caused damage,2,SKYWEST AIRLINES,Colorado,Approach,Rain,False,False,"BIRDS REPTD AS ""GULLS? SNOW GEESE? THEY WERE WHITE, IN FORMATION AND LOOKED ABOUT THE SIZE OF GULLS."" ATIS WARNING. DARK RAINY NIGHT. F/O SAW THE FLOCK A SPLIT SECOND BEFORE WE HIT THEM. NO ENG DAMAGE AS FAR AS WE KNOW. ENG INDICTIONS REMAINED NORMAL. RT",Medium,Overcast,Unknown bird - medium,Y,848578,5500,0,No
268969,Airplane,GREATER PITTSBURGH,< 1000 ft,EMB-170,2 to 10,2,Precautionary Landing,2009-10-27,No damage,2,REPUBLIC AIRLINES,Pennsylvania,Take-off run,Rain,False,False,NO VISIBLE DMG.,Medium,Overcast,Unknown bird - medium,Y,0,0,0,No
268032,Airplane,GREATER PITTSBURGH,< 1000 ft,EMB-170,2 to 10,2,Precautionary Landing,2009-10-28,Caused damage,2,REPUBLIC AIRLINES,Pennsylvania,Climb,Rain,True,False,A/C DEPARTED RWY 10C. ON CLIMBOUT PILOT REPTD STRIKING A FLOCK OF BIRDS AND REQUESTED TO RETURN. A/C TAXIED TO GATE. INSPN OF RWY 10C FOUND 5 CARASSES NEAR TWY T. MX REPORTS THEY ARE REPLACING 3 FAN BLADES. NO REMAINS WERE FOUND IN THE ENG.,Small,Overcast,European starling,Y,0,50,0,No
268238,Airplane,SAN ANTONIO INTL,< 1000 ft,B-737-300,2 to 10,2,Other,2009-11-20,No damage,2,SOUTHWEST AIRLINES,Texas,Landing Roll,Rain,True,True,"ID BY SMITHSONIAN. FAA 3919. WHOLE FEATHER. ON T/D STRUCK A SMALL FLOCK OF BIRDS NEAR THE AIMING PT MARKER FOR RWY, 1000. NO VISIBLE DMG TO A/C HOWEVER A/C GROUNDED BY SWA IN ORDER TO CONDUCT A PROPER INSPN. UNKNOWN AMT OF TIME OUT OF SERV.",Small,Overcast,Eastern meadowlark,N,0,0,0,Yes
300392,Airplane,PORTLAND-HILLSBORO ARPT,< 1000 ft,LEARJET-36,2 to 10,4,Precautionary Landing,2010-01-03,Caused damage,2,BUSINESS,Oregon,Climb,Rain,True,True,"ID BY SMITHSONIAN, FAA 4002, DNA. A/C DEPARTED WITH A PATIENT AND MEDICAL TEAM ON BOARD. PILOTS HEARD LOUD BANG ON FUSELAGE DURING GEAR RETRACTION AND RETD TO LAND W/O INCIDENT. DMG TO PORT WING LEADING EDGE, PORT ENG INLET AND PORT PITOT TUBE. A/C WAS TA",Medium,Overcast,Northern pintail,Y,0,600,0,No
300029,Airplane,SACRAMENTO INTL,> 1000 ft,B-737-700,2 to 10,3,Precautionary Landing,2010-01-05,No damage,2,SOUTHWEST AIRLINES,California,Climb,Fog,True,True,"ID BY SMITHSONIAN, FAA 4015, DNA. BOTH AN AMERICAN WIGEON AND A NORTHERN PINTAIL WERE STRUCK. ON INITIAL CLIMB DURING FLAP RETRACTION,. A/C EXITED THE OVERCAST AT APPROX 1400 AGL AND IMMED HIT 2 LRG BIRDS, ONE ON EACH OF THE CAPT'S AND F/O'S FWD WINDSCREE",Medium,Overcast,Northern pintail,Y,0,1500,0,Yes
300526,Airplane,FAIRBANKS INTL ARPT,< 1000 ft,PA-31 NAVAJO,2 to 10,4,Precautionary Landing,2010-05-12,No damage,2,BUSINESS,Alaska,Climb,Rain,True,True,"ID BY SMITHSONIAN. FAA 4327. WHOLE FEATHER. NO DMG TO A/C. DATA ENTRY NOTE: # STRUCK NOT REPTD, ASSUME 2-10, SAME AS # SEEN.",Small,Some Cloud,Lapland longspur,Y,0,10,0,No
301976,Airplane,PORTLAND INTL (OR),< 1000 ft,CITATION X,2 to 10,7,Precautionary Landing,2010-05-28,Caused damage,2,BUSINESS,Oregon,Take-off run,Rain,True,False,"REPORTED STRIKING BIRDS ON T/O. PILOT REPTD A/C NO PROBLEMS. COMPANY REQUIRED JET DIVERT FROM SAN FRANISCO TO SACRAMENTS. FOUND BIRD PARTS IN PITOT TUBES,  AND BOTH ENGINES. BORESCOPE REQD. MINOR DMG (DENTS) TO LEADNG EDGE OF WINGS.",Small,Overcast,Barn swallow,Y,0,0,0,No
303163,Airplane,WORCESTER REGIONAL,< 1000 ft,B-737-400,2 to 10,6,Other,2010-07-10,No damage,2,XTRA AIRWAYS,Massachusetts,Landing Roll,Rain,True,False,APPROX 15-30 BARN SWALLOWS WERE SEEN IN THE AREA IMMEDIATELY AFTER THE REPORT OF A POSSIBLE STRIKE. RETPD FROM MASSPORT OPS TO USDA/WS. . NO DMG FOUND DURING INSPN. NEXT FLT DELAYED ABOUT 3 HRS.,Small,Overcast,Barn swallow,N,1540,0,0,Yes
308360,Airplane,PHILADELPHIA INTL,< 1000 ft,B-737-400,2 to 10,7,Precautionary Landing,2010-10-14,No damage,2,US AIRWAYS,Pennsylvania,Climb,Rain,False,False,ON T/O. A/C STRUCK FLOCK OF BIRDS AND EXECUTED PRECAUTIONARY LANDING W/O INCIDENT.,Small,Some Cloud,Unknown bird - small,N,0,10,0,Yes
308817,Airplane,GROTON-NEW LONDON AR,< 1000 ft,GULFSTRM 200,2 to 10,4,Precautionary Landing,2010-11-08,No damage,2,BUSINESS,Connecticut,Climb,Rain,True,True,ID BY SMITHSONIAN. A/C HIT APPROX 10 SNOW BUNTINGS ON T/O. RETURNED TO ARPT FOR A/C INSPN.,Small,Overcast,Snow bunting,Y,0,3,0,No
